Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 14:22:19.686",0x7D9,"Read Memory By Address","Read Memory Address 0xFFFF0010, Length 16 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:19.886",0x7D9,"Read Memory By Address","Read Memory Address 0xFFFF0020, Length 32 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:20.086",0x7D9,"Read Memory By Address","Read Memory Address 0xFFFF0030, Length 48 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:20.286",0x7D9,"Read Memory By Address","Read Memory Address 0xFFFF0040, Length 64 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:20.488",0x7D9,"Security Access","Request Seed","Positive",-,"-"
"2024-12-10 14:22:20.686",0x7D9,"Security Access","Send Key","Reject",0x35,"Unknown Negative Response"
"2024-12-10 14:22:21.127",0x7D9,"Write Data By Identifier","Write Calibration ID","Reject",0x11,"Service not supported"
"2024-12-10 14:22:21.326",0x7D9,"Write Data By Identifier","Write Calibration Verification Numbers","Reject",0x11,"Service not supported"
"2024-12-10 14:22:21.526",0x7D9,"Write Data By Identifier","Write Calibration Software Number","Reject",0x11,"Service not supported"
"2024-12-10 14:22:21.727",0x7D9,"Write Data By Identifier","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:21.927",0x7D9,"Routine Control","Start Routine","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:22.127",0x7D9,"Routine Control","Stop Routine","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:22.327",0x7D9,"Routine Control","Request Routine Results","Reject",0x79,"Unknown Negative Response"
"2024-12-10 14:22:22.527",0x7D9,"Request Download","Request Download - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:22:22.727",0x7D9,"Request Download","Request Download - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:22:22.927",0x7D9,"Request Download","Request Download - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:22:23.137",0x7D9,"Request Download","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:23.337",0x7D9,"Request Download","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:23.537",0x7D9,"Request Upload","Request Upload - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:22:23.737",0x7D9,"Request Upload","Request Upload - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:22:23.937",0x7D9,"Request Upload","Request Upload - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:22:24.137",0x7D9,"Request Upload","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:24.337",0x7D9,"Request Upload","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:24.537",0x7D9,"Transfer Data","Transfer Data - Data Block 1","Reject",0x11,"Service not supported"
"2024-12-10 14:22:24.737",0x7D9,"Transfer Data","Transfer Data - Data Block 2","Reject",0x11,"Service not supported"
"2024-12-10 14:22:24.937",0x7D9,"Transfer Data","Transfer Data - Data Block 3","Reject",0x11,"Service not supported"
"2024-12-10 14:22:25.137",0x7D9,"Transfer Data","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:25.350",0x7D9,"Transfer Data","Reserved","Reject",0x11,"Service not supported"
"2024-12-10 14:22:25.547",0x7D9,"Request Transfer Exit","Request Transfer Exit - Cancel Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:22:25.750",0x7D9,"Request Transfer Exit","Request Transfer Exit - Complete Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:22:25.951",0x7D9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0010, Length 16 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:26.151",0x7D9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0020, Length 32 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:26.351",0x7D9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0030, Length 48 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:26.551",0x7D9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0040, Length 64 bytes","Reject",0x11,"Service not supported"
"2024-12-10 14:22:26.751",0x7D9,"Tester Present","Tester Present - Request Idle State","Reject",0x11,"Service not supported"
"2024-12-10 14:22:26.951",0x7D9,"Tester Present","Tester Present - Request Sleep State","Reject",0x11,"Service not supported"
"2024-12-10 14:22:27.151",0x7D9,"Tester Present","Tester Present - Request Active State","Reject",0x11,"Service not supported"
"2024-12-10 14:22:27.351",0x7D9,"Control DTC Settings","Enable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 14:22:27.560",0x7D9,"Control DTC Settings","Disable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 14:22:27.760",0x7D9,"Control DTC Settings","Enable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 14:22:27.960",0x7D9,"Control DTC Settings","Disable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 14:22:28.160",0x7D9,"Control DTC Settings","Reset DTC Settings","Reject",0x11,"Service not supported"
"2024-12-10 14:22:28.360",0x7D9,"Link Control","Open Link","Reject",0x11,"Service not supported"
"2024-12-10 14:22:28.560",0x7D9,"Link Control","Close Link","Reject",0x11,"Service not supported"
"2024-12-10 14:22:28.760",0x7D9,"Link Control","Link Status Request","Reject",0x11,"Service not supported"
"2024-12-10 14:22:28.960",0x7D9,"Link Control","Reset Link","Reject",0x11,"Service not supported"
"2024-12-10 14:22:29.160",0x7D9,"Link Control","Configure Link Parameters","Reject",0x11,"Service not supported"
