Timestamp,CanID,Servicename,Optionname,Answer,ErrorCode,ResponseMessage
"2024-12-10 14:28:52.382",0x7C9,"Write Data By Identifier","Write VIN Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:52.583",0x7C9,"Write Data By Identifier","Write Calibration ID","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:52.783",0x7C9,"Write Data By Identifier","Write Calibration Verification Numbers","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:52.986",0x7C9,"Write Data By Identifier","Write Calibration Software Number","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:53.387",0x7C9,"Routine Control","Start Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:53.587",0x7C9,"Routine Control","Stop Routine","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:53.789",0x7C9,"Routine Control","Request Routine Results","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:53.989",0x7C9,"Request Download","Request Download - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:28:54.190",0x7C9,"Request Download","Request Download - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:28:54.389",0x7C9,"Request Download","Request Download - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:28:54.992",0x7C9,"Request Upload","Request Upload - Addressing Format 1","Reject",0x11,"Service not supported"
"2024-12-10 14:28:55.193",0x7C9,"Request Upload","Request Upload - Addressing Format 2","Reject",0x11,"Service not supported"
"2024-12-10 14:28:55.393",0x7C9,"Request Upload","Request Upload - Addressing Format 3","Reject",0x11,"Service not supported"
"2024-12-10 14:28:55.997",0x7C9,"Transfer Data","Transfer Data - Data Block 1","Reject",0x11,"Service not supported"
"2024-12-10 14:28:56.197",0x7C9,"Transfer Data","Transfer Data - Data Block 2","Reject",0x11,"Service not supported"
"2024-12-10 14:28:56.397",0x7C9,"Transfer Data","Transfer Data - Data Block 3","Reject",0x11,"Service not supported"
"2024-12-10 14:28:56.003",0x7C9,"Request Transfer Exit","Request Transfer Exit - Cancel Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:28:57.203",0x7C9,"Request Transfer Exit","Request Transfer Exit - Complete Transfer","Reject",0x11,"Service not supported"
"2024-12-10 14:28:57.403",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0010, Length 16 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:57.603",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0020, Length 32 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:57.803",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0030, Length 48 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:57.003",0x7C9,"Write Memory By Address (0x3D)","Write Memory - Address 0xFFFF0040, Length 64 bytes","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:58.203",0x7C9,"Tester Present","Tester Present - Request Idle State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:58.403",0x7C9,"Tester Present","Tester Present - Request Sleep State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:58.603",0x7C9,"Tester Present","Tester Present - Request Active State","Reject",0x31,"Routine Not Complete"
"2024-12-10 14:28:58.803",0x7C9,"Control DTC Settings","Enable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 14:28:58.003",0x7C9,"Control DTC Settings","Disable DTC Clearing","Reject",0x11,"Service not supported"
"2024-12-10 14:28:59.203",0x7C9,"Control DTC Settings","Enable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 14:28:59.403",0x7C9,"Control DTC Settings","Disable Specific DTC","Reject",0x11,"Service not supported"
"2024-12-10 14:28:59.604",0x7C9,"Control DTC Settings","Reset DTC Settings","Reject",0x11,"Service not supported"
"2024-12-10 14:28:59.807",0x7C9,"Link Control","Open Link","Reject",0x11,"Service not supported"
"2024-12-10 14:29:00.007",0x7C9,"Link Control","Close Link","Reject",0x11,"Service not supported"
"2024-12-10 14:29:00.207",0x7C9,"Link Control","Link Status Request","Reject",0x11,"Service not supported"
"2024-12-10 14:29:00.408",0x7C9,"Link Control","Reset Link","Reject",0x11,"Service not supported"
"2024-12-10 14:29:00.610",0x7C9,"Link Control","Configure Link Parameters","Reject",0x11,"Service not supported"
